Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;1;2;5;Update;Elements;167197|404236|404315
NMF;Q1;1;2;6;Update;Time;1956400
NMF;Q1;1;2;6;Update;Memory;78417920
NMF;Q1;1;2;6;Update;Elements;167197|404236|404315
NMF;Q1;1;2;7;Update;Time;1926400
NMF;Q1;1;2;7;Update;Memory;78417920
NMF;Q1;1;2;7;Update;Elements;167197|404236|404315
NMF;Q1;1;2;8;Update;Time;2172900
NMF;Q1;1;2;8;Update;Memory;78417920
NMF;Q1;1;2;8;Update;Elements;167197|404236|404315
NMF;Q1;1;2;9;Update;Time;2583500
NMF;Q1;1;2;9;Update;Memory;78417920
NMF;Q1;1;2;9;Update;Elements;167197|404236|404315
NMF;Q1;1;2;10;Update;Time;1959500
NMF;Q1;1;2;10;Update;Memory;78417920
NMF;Q1;1;2;10;Update;Elements;167197|404236|404315
NMF;Q1;1;2;11;Update;Time;2403400
NMF;Q1;1;2;11;Update;Memory;78548992
NMF;Q1;1;2;11;Update;Elements;167197|404236|404315
NMF;Q1;1;2;12;Update;Time;2354500
NMF;Q1;1;2;12;Update;Memory;78548992
NMF;Q1;1;2;12;Update;Elements;167197|404236|404315
NMF;Q1;1;2;13;Update;Time;2737700
NMF;Q1;1;2;13;Update;Memory;78548992
NMF;Q1;1;2;13;Update;Elements;404236|167197|404315
NMF;Q1;1;2;14;Update;Time;2538900
NMF;Q1;1;2;14;Update;Memory;78548992
NMF;Q1;1;2;14;Update;Elements;404236|167197|404315
NMF;Q1;1;2;15;Update;Time;5417500
NMF;Q1;1;2;15;Update;Memory;79073280
NMF;Q1;1;2;15;Update;Elements;404236|167197|404315
NMF;Q1;1;2;16;Update;Time;3787300
NMF;Q1;1;2;16;Update;Memory;79466496
NMF;Q1;1;2;16;Update;Elements;404236|167197|404315
NMF;Q1;1;2;17;Update;Time;5748200
NMF;Q1;1;2;17;Update;Memory;79466496
NMF;Q1;1;2;17;Update;Elements;404236|167197|404315
NMF;Q1;1;2;18;Update;Time;4163900
NMF;Q1;1;2;18;Update;Memory;79466496
NMF;Q1;1;2;18;Update;Elements;404236|167197|404315
NMF;Q1;1;2;19;Update;Time;3813500
NMF;Q1;1;2;19;Update;Memory;79728640
NMF;Q1;1;2;19;Update;Elements;404236|167197|404315
NMF;Q1;1;2;20;Update;Time;3437600
NMF;Q1;1;2;20;Update;Memory;79859712
NMF;Q1;1;2;20;Update;Elements;404236|167197|404315
NMF;Q1;1;3;0;Initialization;Time;481620300
NMF;Q1;1;3;0;Initialization;Memory;74317824
NMF;Q1;1;3;0;Load;Time;87651000
NMF;Q1;1;3;0;Load;Memory;77725696
NMF;Q1;1;3;0;Initial;Time;19144000
NMF;Q1;1;3;0;Initial;Memory;77856768
NMF;Q1;1;3;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;3;1;Update;Time;5055600
NMF;Q1;1;3;1;Update;Memory;78249984
NMF;Q1;1;3;1;Update;Elements;404236|167197|404315
NMF;Q1;1;3;2;Update;Time;3447400
NMF;Q1;1;3;2;Update;Memory;78249984
NMF;Q1;1;3;2;Update;Elements;404236|167197|404315
